"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 12 11:36:00 GMT 2025","Mon May 12 11:36:01 GMT 2025","1594","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openSiteTest","openSiteTest()",""
"broken","Mon May 12 11:36:03 GMT 2025","Mon May 12 11:36:03 GMT 2025","221","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 11:35:53 GMT 2025","Mon May 12 11:36:00 GMT 2025","6263","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithCustomTimeoutWaitTest","loadingImagesWithCustomTimeoutWaitTest()",""
"broken","Mon May 12 11:36:03 GMT 2025","Mon May 12 11:36:03 GMT 2025","221","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithUpdatedTimeoutWaitTest","loadingImagesWithUpdatedTimeoutWaitTest()",""
"broken","Mon May 12 11:36:02 GMT 2025","Mon May 12 11:36:02 GMT 2025","227","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openForm","openForm()",""
"passed","Mon May 12 11:35:28 GMT 2025","Mon May 12 11:35:29 GMT 2025","952","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 11:35:39 GMT 2025","Mon May 12 11:35:40 GMT 2025","431","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openForm","openForm()",""
"broken","Mon May 12 11:36:05 GMT 2025","Mon May 12 11:36:05 GMT 2025","283","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","openWebFormTest","openWebFormTest()",""
"broken","Mon May 12 11:36:03 GMT 2025","Mon May 12 11:36:04 GMT 2025","295","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","openNavigationTest","openNavigationTest()",""
"broken","Mon May 12 11:36:04 GMT 2025","Mon May 12 11:36:04 GMT 2025","281","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","CheckDefaultBehaviour","CheckDefaultBehaviour()",""
"broken","Mon May 12 11:36:02 GMT 2025","Mon May 12 11:36:03 GMT 2025","227","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"broken","Mon May 12 11:36:03 GMT 2025","Mon May 12 11:36:03 GMT 2025","224","","ui.selenidePOMTests.HomePageTests","","ui.selenidePOMTests.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Mon May 12 11:35:30 GMT 2025","Mon May 12 11:35:39 GMT 2025","8736","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"passed","Mon May 12 11:35:49 GMT 2025","Mon May 12 11:35:53 GMT 2025","4500","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"passed","Mon May 12 11:35:29 GMT 2025","Mon May 12 11:35:30 GMT 2025","958","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","pageObjectTest","pageObjectTest()",""
"passed","Mon May 12 11:35:40 GMT 2025","Mon May 12 11:35:40 GMT 2025","668","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","successfulLoginTest","successfulLoginTest()",""
"broken","Mon May 12 11:36:02 GMT 2025","Mon May 12 11:36:02 GMT 2025","229","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","successfulLoginTest","successfulLoginTest()",""
"broken","Mon May 12 11:36:04 GMT 2025","Mon May 12 11:36:05 GMT 2025","225","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testForwardBackwardNavigation","testForwardBackwardNavigation()",""
"broken","Mon May 12 11:36:02 GMT 2025","Mon May 12 11:36:02 GMT 2025","233","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"broken","Mon May 12 11:36:05 GMT 2025","Mon May 12 11:36:05 GMT 2025","225","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","submitFormTest","submitFormTest()",""
"broken","Mon May 12 11:36:03 GMT 2025","Mon May 12 11:36:03 GMT 2025","233","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openHomepageTest","openHomepageTest()",""
"passed","Mon May 12 11:35:40 GMT 2025","Mon May 12 11:35:49 GMT 2025","8604","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"broken","Mon May 12 11:36:01 GMT 2025","Mon May 12 11:36:02 GMT 2025","244","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","pageObjectTest","pageObjectTest()",""
"broken","Mon May 12 11:36:04 GMT 2025","Mon May 12 11:36:04 GMT 2025","225","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testNextButtonFunctionality","testNextButtonFunctionality()",""
